date,jk_pc1_hf,jk_SP500_hf,jk_MP_pm,jk_CBI_pm,jk_MP_median,jk_CBI_median
2003-10-01,-0.05284001000000001,-0.12982000000000002,0.02837882,-0.08121883,-0.0186864,-0.03415361
2004-01-01,0.06704591,-0.97106,0.12555183,-0.05850592,0.09137071999999999,-0.024324810000000002
2004-04-01,-0.02105054,0.63259,-0.02713915,0.00608861,-0.04820978,0.02715924
2004-07-01,0.03523853,-0.27302,0.03523853,0.0,0.03388355,0.0013549800000000004
2004-10-01,-0.04264748,0.18247,-0.04264748,0.0,-0.032193799999999995,-0.01045368
2005-01-01,0.05329863,-0.32023999999999997,0.05329863,0.0,0.04572658,0.00757205
2005-04-01,0.05219471,0.20775,0.02597534,0.02621937,0.013721319999999995,0.03847339
2005-07-01,0.004828620000000002,0.06411999999999998,0.004828620000000002,0.0,-0.0014054299999999992,0.00623405
2005-10-01,-0.02053081,0.7458199999999999,-0.02694551,0.0064147,-0.05469522,0.03416441
2006-01-01,0.07531659,-0.84911,0.07531659,0.0,0.08824128,-0.012924689999999999
2006-04-01,0.007765109999999999,0.34842000000000006,0.007765109999999999,0.0,-0.016873440000000003,0.024638550000000002
2006-07-01,-0.022565070000000003,-0.51467,0.01769471,-0.04025978,0.019377270000000002,-0.04194234
2006-10-01,-0.04250712,0.18635,-0.03211267,-0.01039445,-0.03235476,-0.01015236
2007-01-01,-0.09081048,1.2979399999999999,-0.09081048,0.0,-0.12272582,0.03191534
2007-04-01,0.04837281,-0.40818999999999994,0.04837281,0.0,0.04850301,-0.00013020000000000045
2007-07-01,-0.25623181,0.06640999999999986,-0.23194319000000002,-0.02428862,-0.13207205,-0.12415976000000001
2007-10-01,0.09029010000000001,-2.18295,0.09029010000000001,0.0,0.17518724,-0.08489714
2008-01-01,-0.12478539999999996,0.47764,-0.06792844,0.10109703,-0.06040982,0.09357841
2008-04-01,-0.13206074,0.19685,-0.13206074,0.0,-0.07775707,-0.05430367
2008-07-01,0.06904041,-0.49515,0.06904041,0.0,0.06401717,0.00502324
2008-10-01,-0.45150899,3.23392,-0.33762569,-0.07880913,-0.33371606,-0.08271876
2009-01-01,-0.07082322,1.61089,-0.06036648,-0.01045674,-0.13137516999999999,0.06055194999999999
2009-04-01,0.05499812,-0.05728,0.03822573,0.01677239,0.030911329999999997,0.024086790000000004
2009-07-01,-0.10144375,0.26428999999999997,-0.08738741,-0.01405634,-0.0664661,-0.03497765
2009-10-01,-0.02310728,0.0341,-0.02310728,0.0,-0.01358504,-0.009522240000000001
2010-01-01,-0.008029439999999995,0.28961000000000003,-0.03560077,0.02757133,-0.02126729,0.013237849999999999
2010-04-01,-0.0029052,0.5139,-0.0066651,0.0037599,-0.03206653,0.02916133
2010-07-01,-0.023433489999999998,1.27413,-0.023433489999999998,0.0,-0.08761892,0.06418543
2010-10-01,-0.0064906899999999995,-0.28818,-0.00464501,-0.00184568,0.013922049999999998,-0.020412740000000002
