,AR_gdp,AR_policy_rate,AR_fx,BR_gdp,BR_cpi,BR_policy_rate,BR_3m_treasury_rate,BR_fx,CA_gdp,CA_cpi,CA_policy_rate,CA_3m_treasury_rate,CA_fx,DK_gdp,DK_cpi,DK_policy_rate,DK_3m_treasury_rate,DK_fx,FR_gdp,FR_cpi,FR_policy_rate,FR_3m_treasury_rate,FR_fx,DE_gdp,DE_cpi,DE_policy_rate,DE_3m_treasury_rate,DE_fx,IT_gdp,IT_cpi,IT_policy_rate,IT_3m_treasury_rate,IT_fx,MX_gdp,MX_cpi,MX_policy_rate,MX_3m_treasury_rate,MX_fx,NO_gdp,NO_cpi,NO_policy_rate,NO_3m_treasury_rate,NO_fx,ES_gdp,ES_cpi,ES_policy_rate,ES_3m_treasury_rate,ES_fx,SE_gdp,SE_cpi,SE_policy_rate,SE_3m_treasury_rate,SE_fx,US_gdp,US_cpi,US_policy_rate,US_3m_treasury_rate,US_fx,AR_cpi,AR_inflation,BR_inflation,CA_inflation,DK_inflation,FR_inflation,DE_inflation,IT_inflation,MX_inflation,NO_inflation,ES_inflation,SE_inflation,US_inflation,AR_current_account_gdp,BR_current_account_gdp,MX_current_account_gdp,CA_current_account_gdp,DK_current_account_gdp,FR_current_account_gdp,DE_current_account_gdp,IT_current_account_gdp,NO_current_account_gdp,ES_current_account_gdp,SE_current_account_gdp,US_current_account_gdp,BS_MPS,BS_MPS_ORTH,Romer & Romer (2004),Miranda-Agrippino (2014) quarterly,jf_dY_prod,jf_dY_inc,jf_dY,jf_dhours,jf_dLP,jf_dk,jf_dLQ_BLS_interpolated,jf_dLQ_Aaronson_Sullivan,jf_dLQ,jf_alpha,jf_dtfp,jf_dutil,jf_dtfp_util,jf_relativePrice,jf_invShare,jf_dtfp_I,jf_dtfp_C,jf_du_invest,jf_du_consumption,jf_dtfp_I_util,jf_dtfp_C_util,BRW_shocks,jk_pc1_hf,jk_SP500_hf,jk_MP_pm,jk_CBI_pm,jk_MP_median,jk_CBI_median,AR_nobs_res_1yr_log_chg,BR_nobs_res_1yr_log_chg,CA_nobs_res_1yr_log_chg,DE_nobs_res_1yr_log_chg,DK_nobs_res_1yr_log_chg,ES_nobs_res_1yr_log_chg,FR_nobs_res_1yr_log_chg,IT_nobs_res_1yr_log_chg,MX_nobs_res_1yr_log_chg,NO_nobs_res_1yr_log_chg,SE_nobs_res_1yr_log_chg,US_nobs_res_1yr_log_chg,AR_mean_res_1yr_log_chg,BR_mean_res_1yr_log_chg,CA_mean_res_1yr_log_chg,DE_mean_res_1yr_log_chg,DK_mean_res_1yr_log_chg,ES_mean_res_1yr_log_chg,FR_mean_res_1yr_log_chg,IT_mean_res_1yr_log_chg,MX_mean_res_1yr_log_chg,NO_mean_res_1yr_log_chg,SE_mean_res_1yr_log_chg,US_mean_res_1yr_log_chg,AR_std_res_1yr_log_chg,BR_std_res_1yr_log_chg,CA_std_res_1yr_log_chg,DE_std_res_1yr_log_chg,DK_std_res_1yr_log_chg,ES_std_res_1yr_log_chg,FR_std_res_1yr_log_chg,IT_std_res_1yr_log_chg,MX_std_res_1yr_log_chg,NO_std_res_1yr_log_chg,SE_std_res_1yr_log_chg,US_std_res_1yr_log_chg,AR_skew_res_1yr_log_chg,BR_skew_res_1yr_log_chg,CA_skew_res_1yr_log_chg,DE_skew_res_1yr_log_chg,DK_skew_res_1yr_log_chg,ES_skew_res_1yr_log_chg,FR_skew_res_1yr_log_chg,IT_skew_res_1yr_log_chg,MX_skew_res_1yr_log_chg,NO_skew_res_1yr_log_chg,SE_skew_res_1yr_log_chg,US_skew_res_1yr_log_chg,AR_kurt_res_1yr_log_chg,BR_kurt_res_1yr_log_chg,CA_kurt_res_1yr_log_chg,DE_kurt_res_1yr_log_chg,DK_kurt_res_1yr_log_chg,ES_kurt_res_1yr_log_chg,FR_kurt_res_1yr_log_chg,IT_kurt_res_1yr_log_chg,MX_kurt_res_1yr_log_chg,NO_kurt_res_1yr_log_chg,SE_kurt_res_1yr_log_chg,US_kurt_res_1yr_log_chg,AR_kelley_res_1yr_log_chg,BR_kelley_res_1yr_log_chg,CA_kelley_res_1yr_log_chg,DE_kelley_res_1yr_log_chg,DK_kelley_res_1yr_log_chg,ES_kelley_res_1yr_log_chg,FR_kelley_res_1yr_log_chg,IT_kelley_res_1yr_log_chg,MX_kelley_res_1yr_log_chg,NO_kelley_res_1yr_log_chg,SE_kelley_res_1yr_log_chg,US_kelley_res_1yr_log_chg,AR_crows_res_1yr_log_chg,BR_crows_res_1yr_log_chg,CA_crows_res_1yr_log_chg,DE_crows_res_1yr_log_chg,DK_crows_res_1yr_log_chg,ES_crows_res_1yr_log_chg,FR_crows_res_1yr_log_chg,IT_crows_res_1yr_log_chg,MX_crows_res_1yr_log_chg,NO_crows_res_1yr_log_chg,SE_crows_res_1yr_log_chg,US_crows_res_1yr_log_chg,AR_nobs_res_5yr_log_chg,BR_nobs_res_5yr_log_chg,CA_nobs_res_5yr_log_chg,DE_nobs_res_5yr_log_chg,DK_nobs_res_5yr_log_chg,ES_nobs_res_5yr_log_chg,FR_nobs_res_5yr_log_chg,IT_nobs_res_5yr_log_chg,MX_nobs_res_5yr_log_chg,NO_nobs_res_5yr_log_chg,SE_nobs_res_5yr_log_chg,US_nobs_res_5yr_log_chg,AR_mean_res_5yr_log_chg,BR_mean_res_5yr_log_chg,CA_mean_res_5yr_log_chg,DE_mean_res_5yr_log_chg,DK_mean_res_5yr_log_chg,ES_mean_res_5yr_log_chg,FR_mean_res_5yr_log_chg,IT_mean_res_5yr_log_chg,MX_mean_res_5yr_log_chg,NO_mean_res_5yr_log_chg,SE_mean_res_5yr_log_chg,US_mean_res_5yr_log_chg,AR_std_res_5yr_log_chg,BR_std_res_5yr_log_chg,CA_std_res_5yr_log_chg,DE_std_res_5yr_log_chg,DK_std_res_5yr_log_chg,ES_std_res_5yr_log_chg,FR_std_res_5yr_log_chg,IT_std_res_5yr_log_chg,MX_std_res_5yr_log_chg,NO_std_res_5yr_log_chg,SE_std_res_5yr_log_chg,US_std_res_5yr_log_chg,AR_skew_res_5yr_log_chg,BR_skew_res_5yr_log_chg,CA_skew_res_5yr_log_chg,DE_skew_res_5yr_log_chg,DK_skew_res_5yr_log_chg,ES_skew_res_5yr_log_chg,FR_skew_res_5yr_log_chg,IT_skew_res_5yr_log_chg,MX_skew_res_5yr_log_chg,NO_skew_res_5yr_log_chg,SE_skew_res_5yr_log_chg,US_skew_res_5yr_log_chg,AR_kurt_res_5yr_log_chg,BR_kurt_res_5yr_log_chg,CA_kurt_res_5yr_log_chg,DE_kurt_res_5yr_log_chg,DK_kurt_res_5yr_log_chg,ES_kurt_res_5yr_log_chg,FR_kurt_res_5yr_log_chg,IT_kurt_res_5yr_log_chg,MX_kurt_res_5yr_log_chg,NO_kurt_res_5yr_log_chg,SE_kurt_res_5yr_log_chg,US_kurt_res_5yr_log_chg,AR_kelley_res_5yr_log_chg,BR_kelley_res_5yr_log_chg,CA_kelley_res_5yr_log_chg,DE_kelley_res_5yr_log_chg,DK_kelley_res_5yr_log_chg,ES_kelley_res_5yr_log_chg,FR_kelley_res_5yr_log_chg,IT_kelley_res_5yr_log_chg,MX_kelley_res_5yr_log_chg,NO_kelley_res_5yr_log_chg,SE_kelley_res_5yr_log_chg,US_kelley_res_5yr_log_chg,AR_crows_res_5yr_log_chg,BR_crows_res_5yr_log_chg,CA_crows_res_5yr_log_chg,DE_crows_res_5yr_log_chg,DK_crows_res_5yr_log_chg,ES_crows_res_5yr_log_chg,FR_crows_res_5yr_log_chg,IT_crows_res_5yr_log_chg,MX_crows_res_5yr_log_chg,NO_crows_res_5yr_log_chg,SE_crows_res_5yr_log_chg,US_crows_res_5yr_log_chg
1920-01-01,,,,,,,,,,9.33028048082427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-04-01,,,,,,,,,,9.93131081854608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-07-01,,,,,,,,,,10.0171722953635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920-10-01,,,,,,,,,,9.7309673726388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-01-01,,,,,,,,,,9.24441900400687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009202453987729897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-04-01,,,,,,,,,,8.55752718946766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1383285302593661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-07-01,,,,,,,,,,8.32856325128792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16857142857143048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921-10-01,,,,,,,,,,8.15684029765312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16176470588235203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-01-01,,,,,,,,,,7.98511734401831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13622291021671917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-04-01,,,,,,,,,,7.84201488265598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08361204013377954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-07-01,,,,,,,,,,7.87063537492845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05498281786941528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922-10-01,,,,,,,,,,7.89925586720091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03157894736842182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
