,AR_gdp,AR_policy_rate,AR_fx,BR_gdp,BR_cpi,BR_policy_rate,BR_3m_treasury_rate,BR_fx,CA_gdp,CA_cpi,CA_policy_rate,CA_3m_treasury_rate,CA_fx,DK_gdp,DK_cpi,DK_policy_rate,DK_3m_treasury_rate,DK_fx,FR_gdp,FR_cpi,FR_policy_rate,FR_3m_treasury_rate,FR_fx,DE_gdp,DE_cpi,DE_policy_rate,DE_3m_treasury_rate,DE_fx,IT_gdp,IT_cpi,IT_policy_rate,IT_3m_treasury_rate,IT_fx,MX_gdp,MX_cpi,MX_policy_rate,MX_3m_treasury_rate,MX_fx,NO_gdp,NO_cpi,NO_policy_rate,NO_3m_treasury_rate,NO_fx,ES_gdp,ES_cpi,ES_policy_rate,ES_3m_treasury_rate,ES_fx,SE_gdp,SE_cpi,SE_policy_rate,SE_3m_treasury_rate,SE_fx,US_gdp,US_cpi,US_policy_rate,US_3m_treasury_rate,US_fx,AR_cpi,AR_inflation,BR_inflation,CA_inflation,DK_inflation,FR_inflation,DE_inflation,IT_inflation,MX_inflation,NO_inflation,ES_inflation,SE_inflation,US_inflation,AR_current_account_gdp,BR_current_account_gdp,MX_current_account_gdp,CA_current_account_gdp,DK_current_account_gdp,FR_current_account_gdp,DE_current_account_gdp,IT_current_account_gdp,NO_current_account_gdp,ES_current_account_gdp,SE_current_account_gdp,US_current_account_gdp
2000-04-01,,,0.9995,292789.0,51.7608340546448,17.5,19.6966666666667,1.80067627022101,274521.0,81.5397824842587,5.75,5.58366666666667,1.48024132333333,330224.226,81.7356057494867,4.25,5.67,7.97359,367050.9,84.2668355945028,,4.0694,1.07158350660144,524390.0,85.3737820586168,,4.31333333333333,1.07158350660144,308909.3,80.4722434824534,,4.4908,1.07158350660144,1739598.75,62.7266482219067,,14.2533333333333,9.56013333333333,359053.0,81.7663559858836,8.25,6.41,8.77797333333333,162868.0,75.4729643569456,,4.57333333333333,1.07158350660144,611023.0,86.2425509757085,,3.96256666666667,8.85259,2569266.0,78.7567079634925,6.5,5.89,1.0,38.2148,-0.007312391060959156,0.06582804049735769,0.024451636102121865,0.032019877463490776,0.014232463571670628,0.011054132721779464,0.024908918246508982,0.09542120784787111,0.02915717539863305,0.03177290412796663,0.008570360728415993,0.03329322101885346,,-0.041483620000000006,,0.01799404823278383,0.007837099147292723,,,,0.10836561733226013,,0.03600519129394474,-0.1477067769549747
2000-07-01,,,0.9995,308896.0,53.1776459869883,16.5,17.4233333333333,1.81461764665286,287734.0,82.3125357756153,5.75,5.60366666666667,1.48215666666667,327343.893,81.8172877421659,4.5,5.68666666666667,8.24589666666667,360743.1,84.5765366274261,,4.59736666666667,1.10468129944506,537700.0,85.9404938833464,,4.73666666666667,1.10468129944506,305187.7,80.94925565285,,4.88556666666667,1.10468129944506,1791732.75,63.684790047967,,14.6733333333333,9.36176666666667,378186.0,82.0197267215636,9.0,6.55666666666667,8.95455,158906.0,76.4053260763184,,5.02333333333333,1.10468129944506,580545.0,86.2006738904639,,3.9914,9.28830333333333,2577927.0,79.3834597155311,6.5,6.19833333333333,1.0,38.2148,-0.007312391060959156,0.07561886412590657,0.027142857142857357,0.027252110470841195,0.019039138362379582,0.0137632289472156,0.026307781672574082,0.09023370648685325,0.034230944774075844,0.03626440198679459,0.008483535752044302,0.035080725533187085,,-0.038050959999999995,,0.036477820319233044,0.03408647675611288,,,,0.16611138434526926,,0.03961794520665926,-0.1616756409316478
2000-10-01,,,0.9995,320481.0,53.7841630757169,15.75,17.7266666666667,1.92951603174603,285938.0,82.8849456210646,5.75,5.63733333333333,1.52565196333333,352577.963,82.3618284081779,4.75,5.42,8.57512,383720.5,84.9249502894649,,4.94013333333333,1.15167358280166,547590.0,86.2071833520989,,4.57333333333333,1.15167358280166,341285.9,81.5216738417277,,4.92003333333333,1.15167358280166,1805131.625,65.1550518686218,,16.83,9.4934,407412.0,82.7798389286037,9.0,6.32,9.2548,172155.0,77.0558120575025,,4.90333333333333,1.15167358280166,649238.0,86.8189119121022,,4.01853333333333,9.90014333333333,2655636.0,79.8114853022892,6.5,6.21546666666667,1.0,38.2148,-0.007312391060959156,0.06201552025833146,0.03060498220640473,0.025612826379922904,0.019131683419208567,0.017309221020147536,0.026734748916606987,0.08913729710625784,0.03110910730387695,0.03998555661040881,0.010855199846025343,0.03427099841521275,,-0.05098595,,0.031836104567390305,0.011186178416942071,,,,0.18888005262486132,,0.06007042101663797,-0.15840649848096652
2001-01-01,,,0.9995,312470.0,54.5967054680988,15.75,15.9233333333333,2.01433821548822,277284.0,83.0566685746994,5.0,4.85,1.52782318333333,329146.334,82.7426122667619,4.75,5.03,8.08410666666667,378747.8,84.8827183304299,3.22916666666667,4.7546,1.08317057567131,536830.0,86.7405585223246,3.22916666666667,4.11666666666667,1.08317057567131,306038.2,82.2133414888029,3.22916666666667,4.53503333333333,1.08317057567131,1830071.625,66.284206117286,,17.01,9.6969,397170.0,84.010496787621,9.0,6.20333333333333,8.88969333333333,166473.0,77.6027563480669,3.22916666666667,4.32,1.08317057567131,603420.0,86.9434411392771,,4.04673333333333,9.73908333333333,2562488.0,80.5758167072144,5.3065,4.97405666666667,1.0,37.625,-0.015433810984225915,0.06211650853336703,0.027620396600566144,0.023916968067400957,0.013062836021506374,0.0172009093908021,0.02895516352555383,0.07456377825557592,0.03523639607493245,0.037900770151531926,0.01518387935249721,0.033934876422125226,,-0.0478968,,0.030823221382561924,0.05181585890001133,,,,0.15813379661102298,,0.0745749229392463,-0.16533189618839192
2001-04-01,,,0.9995,323724.0,55.3829194320658,18.25,19.0833333333333,2.28770393939394,287272.0,84.4590726960504,4.5,4.351,1.54111159666667,342134.353,83.8139451834658,4.5,5.27333333333333,8.53543666666667,381663.7,85.9948265850182,,4.6198,1.14610849950364,538240.0,87.5406269285821,,3.94666666666667,1.14610849950364,326799.0,82.9288669132012,,4.4117,1.14610849950364,1864937.625,67.0397940367432,,12.1133333333333,9.19773333333333,389380.0,84.9877839109583,9.0,6.72666666666667,9.17891333333333,176507.0,78.5955889689065,,4.28333333333333,1.14610849950364,636430.0,88.592075863646,,4.04183333333333,10.4319266666667,2656407.0,81.4165812526322,3.9667,3.74686666666667,1.0,37.625,-0.015433810984225915,0.06997733795396521,0.03580203580203656,0.0254275895421765,0.02050618108920821,0.02538068266060378,0.030527587208171614,0.06876098017509213,0.0393979637007531,0.04137408194532566,0.027243221140331064,0.033773291925465854,,-0.04701965,,0.021983094573322145,0.027831171925609,,,,0.14468642457239714,,0.04399541190704398,-0.14270516528528948
2001-07-01,,,0.9995,332524.0,56.7064045775076,19.0,22.4466666666667,2.54863877331669,291890.0,84.5449341728678,3.5,3.62433333333333,1.54606854,340631.317,83.7782340862423,3.75,5.18333333333333,8.36509333333333,373750.4,86.0792905030882,,4.27266666666667,1.12325377240455,553540.0,87.6739773138773,,3.59,1.12325377240455,320129.7,83.2150742154392,,4.051,1.12325377240455,1875540.875,67.495992151774,,8.74,9.22206666666667,384680.0,84.1190842457696,9.0,6.40666666666667,8.99699,171969.0,79.1885040673428,,3.91,1.12325377240455,595732.0,88.6460752630404,,4.2012,10.5770866666667,2651366.0,81.5235876493217,3.2667,3.23902666666667,1.0,37.625,-0.015433810984225915,0.06635793151473313,0.02712100139082141,0.023967383889038407,0.01776797603195779,0.02017074084870729,0.02799060404342857,0.0598447777080906,0.025595763459841603,0.036426491894614665,0.028368703656353134,0.026959368380512716,,-0.04632957,,0.02321052747781904,0.03362873414249225,,,,0.17505459082874078,,0.06546567919802865,-0.1554421381280442
2001-10-01,,,0.9995,347038.0,57.8136969367783,19.0,22.7766666666667,2.54784590909091,288097.0,83.7721808815111,2.25,2.249,1.5803565,360364.527,84.0282117668065,3.25,4.83,8.30663333333333,395909.0,86.1180031322036,,3.38453333333333,1.11622171352431,566920.0,87.640636892094,,2.98333333333333,1.11622171352431,355656.2,83.4774309091574,,3.2087,1.11622171352431,1866557.625,68.5576314588749,,7.36,9.25266666666667,395479.0,84.4448466202153,6.5,5.90333333333333,8.90102,186009.0,79.2186444978036,,3.15333333333333,1.11622171352431,669217.0,89.0218670016834,,3.6928,10.5684466666667,2711715.0,81.2942882278441,1.75,1.94729666666667,1.0,37.625,-0.015433810984225915,0.07492045298517813,0.010704419889502992,0.020232471653860884,0.014048319588910063,0.016628005744491192,0.023990639240636158,0.052222805333867806,0.020113686051595803,0.028068388127388655,0.025374138434394844,0.018578816318713276,,-0.03680082,,0.00923717321371073,0.005841307460320588,,,,0.15435712136421909,,0.06275991195680923,-0.12935835808704085
2002-01-01,,82.46,1.91176,342297.0,58.7608782029242,18.5,19.1,2.38058166666667,278499.0,84.3445907269605,2.0,2.12666666666667,1.59438545333333,337131.635,84.8138559057227,3.25,5.20666666666667,8.48095666666667,388563.3,86.7092505586936,2.20833333333333,3.35296666666667,1.1407753592523,537180.0,88.4740381855762,2.20833333333333,3.33333333333333,1.1407753592523,314805.4,84.192952749154,2.20833333333333,3.42533333333333,1.1407753592523,1827361.125,69.4294860291115,7.11,7.37,9.11616666666667,376946.0,84.8791964528097,6.5,6.43333333333333,8.90953333333333,177746.0,79.5452709835644,2.20833333333333,3.47666666666667,1.1407753592523,620968.0,89.2654153132378,,3.90186666666667,10.44659,2631119.0,81.5847341617157,1.75,1.75147333333333,1.0,53.0335,0.4095282392026578,0.07627150208282352,0.015506547208822496,0.025032369443245495,0.021518305070690635,0.019984649543217436,0.024078953908237777,0.04745142313781514,0.010340370529944298,0.025031515978438224,0.026706720409663376,0.012521343198634627,,-0.026472600000000002,,0.017709706438075144,0.01610646832356744,,,,0.12315822425493307,,0.05314283505752309,-0.15371520634376476
2002-04-01,,41.83,3.24832,367363.0,59.7052767896441,18.5,18.9833333333333,2.504125,297094.0,85.603892386949,2.5,2.59,1.55423318333333,355312.338,85.7066333363093,3.25,5.36333333333333,8.09540666666667,393522.5,87.3920005630928,,3.4454,1.0883554603484,546090.0,88.6740543453207,,3.28333333333333,1.0883554603484,337520.0,84.8130721550714,,3.53583333333333,1.0883554603484,1985352.5,70.240078554915,8.13,6.55666666666667,9.45313333333333,392696.0,85.3859379241697,6.5,6.77333333333333,8.18353,189869.0,81.2875627015024,,3.73666666666667,1.0883554603484,665558.0,90.3465053296856,,4.27376666666667,9.98113333333333,2721842.0,82.4713585914289,1.75,1.74440666666667,1.0,53.0335,0.4095282392026578,0.07804495324375638,0.013554727211113837,0.02258201959948858,0.016247186412932546,0.012947444592363633,0.022720740219956514,0.04773708756351169,0.004684838160135429,0.03425095183981486,0.019803458141559815,0.012955313556138659,,-0.03475308,,0.015141808744162958,0.026573802793192058,,,,0.12632163301892557,,0.05709494890002073,-0.16768570695874338
2002-07-01,,23.51,3.58292333333333,379795.0,61.0360397120462,18.0,19.79,3.12812891022022,308927.0,86.519748139668,2.75,2.89033333333333,1.56323982,350911.173,85.7066333363093,3.25,4.91666666666667,7.55118333333333,388265.5,87.6066796881873,,3.34316666666667,1.0165168587781,567130.0,88.7407276543287,,2.76666666666667,1.0165168587781,334210.5,85.2185360843102,,3.23463333333333,1.0165168587781,1992896.5,71.0395048686319,8.05,7.13333333333333,9.8887,385869.0,85.313546285404,7.0,6.24666666666667,7.52372,183563.0,81.0781380207467,,3.29,1.0165168587781,624759.0,90.2781795590233,4.5,4.20883333333333,9.38561666666667,2751463.0,82.8229510376945,1.75,1.67426,1.0,53.0335,0.4095282392026578,0.07635178366176887,0.023358158429248155,0.023017902813299518,0.01774397972116537,0.012167240190693818,0.024075708491037906,0.052499601885839686,0.014199655765920527,0.02386247821775922,0.018411467074429755,0.015938496156009174,,-0.009941819,,0.021895879096253127,0.026057876475765563,,,,0.11253819301369118,,0.052820367533721005,-0.16780054829012783
